[23:11:09]	Trainee RG-3506 entered observer.
[23:11:15]	Trainee RG-3506 exited observer at their location.
[23:11:17]	Trainee RG-3506 entered observer.
[23:11:27]	Trainee RG-3506 exited observer at their location.
[23:11:32]	Trainee RG-3506 entered observer.
[23:11:32]	Trainee RG-3506 exited observer at their location.
[23:11:40]	Trainee RG-3506 used command '/ToggleRaise'.
[23:11:47]	Petty Officer Third Class Karissa Novar has taken 196 damage from Trainee RG-3506.
[23:11:47]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_wristnade.
[23:12:04]	Trainee RG-3506 used command '/ToggleRaise'.
[23:12:16]	Petty Officer Third Class Karissa Novar has spawned 'models/props_lab/blastdoor001c.mdl'.
[23:12:19]	Trainee RG-3506 has taken 10 damage from Petty Officer Third Class Karissa Novar.
[23:12:19]	Trainee RG-3506 entered observer.
[23:12:20]	Trainee RG-3506 exited observer at their location.
[23:12:21]	Trainee RG-3506 entered observer.
[23:12:22]	Trainee RG-3506 exited observer at their location.
[23:12:23]	Petty Officer Third Class Karissa Novar has taken 35 damage from Trainee RG-3506.
[23:12:23]	Petty Officer Third Class Karissa Novar has taken 35 damage from Trainee RG-3506.
[23:12:23]	Petty Officer Third Class Karissa Novar has taken 1 damage from entityflame.
[23:12:23]	Petty Officer Third Class Karissa Novar has taken 35 damage from Trainee RG-3506.
[23:12:23]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_wristflame.
[23:12:27]	Trainee RG-3506 used command '/ToggleRaise'.
[23:12:31]	Trainee RG-3506 used command '/ToggleRaise'.
[23:12:38]	Petty Officer Third Class Karissa Novar has taken 1000 damage from Trainee RG-3506.
[23:12:38]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_wristrocket.
[23:12:51]	Trainee RG-3506 used command '/ToggleRaise'.
[23:12:56]	Trainee RG-3506 has taken 500 damage from Petty Officer Third Class Karissa Novar.
[23:12:56]	Petty Officer Third Class Karissa Novar has killed Trainee RG-3506 with weapon_physgun.
[23:12:56]	Petty Officer Third Class Karissa Novar has taken 500 damage from Petty Officer Third Class Karissa Novar.
[23:12:56]	Petty Officer Third Class Karissa Novar has killed Petty Officer Third Class Karissa Novar.
[23:13:06]	Trainee RG-3506 used command '/ToggleRaise'.
[23:13:13]	Petty Officer Third Class Karissa Novar has taken 62 damage from Trainee RG-3506.
[23:13:14]	Trainee RG-3506 entered observer.
[23:13:15]	Trainee RG-3506 exited observer at their location.
[23:13:16]	Petty Officer Third Class Karissa Novar has taken 60 damage from Trainee RG-3506.
[23:13:16]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_a280cfe.
[23:13:18]	[ME] Petty Officer Third Class Karissa Novar: surender
[23:13:28]	Trainee RG-3506 used command '/ToggleRaise'.
[23:13:36]	Petty Officer Third Class Karissa Novar has spawned 'models/props_junk/cardboard_box003b.mdl'.
[23:13:54]	Petty Officer Third Class Karissa Novar has spawned 'models/props_junk/cardboard_box003b.mdl'.
[23:13:56]	[ME] Trainee RG-3506: opens
[23:14:01]	Trainee RG-3506 rolled 33 out of 100.
[23:14:01]	Trainee RG-3506 used command '/Roll'.
[23:14:05]	[IT] Petty Officer Third Class Karissa Novar: it's anthrax
[23:14:06]	Petty Officer Third Class Karissa Novar has taken 25 damage from Trainee RG-3506.
[23:14:06]	Petty Officer Third Class Karissa Novar has taken 24 damage from Trainee RG-3506.
[23:14:07]	Petty Officer Third Class Karissa Novar has taken 26 damage from Trainee RG-3506.
[23:14:07]	Petty Officer Third Class Karissa Novar has taken 25 damage from Trainee RG-3506.
[23:14:07]	Petty Officer Third Class Karissa Novar has taken 24 damage from Trainee RG-3506.
[23:14:07]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_dual_rk3.
[23:14:14]	Trainee RG-3506 used command '/ToggleRaise'.
[23:14:30]	Petty Officer Third Class Karissa Novar has spawned 'models/props_lab/blastdoor001c.mdl'.
[23:14:42]	Petty Officer Third Class Karissa Novar has taken 35 damage from Trainee RG-3506.
[23:14:44]	Petty Officer Third Class Karissa Novar has taken 37 damage from Trainee RG-3506.
[23:14:45]	Petty Officer Third Class Karissa Novar has taken 34 damage from Trainee RG-3506.
[23:14:45]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_z6i.
[23:14:52]	Petty Officer Third Class Karissa Novar has spawned 'models/props_lab/blastdoor001c.mdl'.
[23:14:55]	Petty Officer Third Class Karissa Novar has taken 34 damage from Trainee RG-3506.
[23:14:55]	Petty Officer Third Class Karissa Novar has taken 36 damage from Trainee RG-3506.
[23:14:56]	Petty Officer Third Class Karissa Novar has taken 34 damage from Trainee RG-3506.
[23:14:56]	Trainee RG-3506 has killed Petty Officer Third Class Karissa Novar with rw_sw_z6i.
