[08:05:01]	Crewman Second Class Zeak Rold has taken 3 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:05:01]	Crewman Second Class Zeak Rold has taken 3 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:05:02]	Crewman Second Class Zeak Rold has taken 3 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:05:02]	Crewman Second Class Zeak Rold has taken 29 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:05:15]	Private First Class Lastimosa 'Marauder' Oldblood has taken 12 damage from Crewman Second Class Zeak Rold.
[08:05:20]	Private First Class Lastimosa 'Marauder' Oldblood has taken 2 damage from Crewman Second Class Zeak Rold.
[08:05:25]	Crewman Second Class Zeak Rold has taken 3 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:05:25]	Crewman Second Class Zeak Rold has taken 3 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:05:26]	Crewman Second Class Zeak Rold has taken 29 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:05:32]	Private First Class Lastimosa 'Marauder' Oldblood has taken 0 damage from Crewman Second Class Zeak Rold.
[08:05:35]	Private First Class Lastimosa 'Marauder' Oldblood has taken 2 damage from Crewman Second Class Zeak Rold.
[08:05:37]	Private First Class Lastimosa 'Marauder' Oldblood has taken 2 damage from Crewman Second Class Zeak Rold.
[08:05:49]	Crewman Second Class Zeak Rold has taken 3 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:05:49]	Crewman Second Class Zeak Rold has taken 30 damage from Private First Class Lastimosa 'Marauder' Oldblood.
[08:05:49]	Private First Class Lastimosa 'Marauder' Oldblood has killed Crewman Second Class Zeak Rold with rw_sw_e11.
[08:05:53]	Private First Class Lastimosa 'Marauder' Oldblood used the 'Supply Locker' vendor.
[08:05:57]	Crewman Second Class Zeak Rold ran 'Equip' on item 'E-11 Stun Blaster' (#1615)
[08:06:01]	Private First Class Lastimosa 'Marauder' Oldblood has taken 2 damage from Crewman Second Class Zeak Rold.
[08:06:04]	Private First Class Lastimosa 'Marauder' Oldblood has gained 0 credits.
[08:06:04]	Private First Class Lastimosa 'Marauder' Oldblood has gained a 'E-11 Stun Blaster' #1676.
[08:06:10]	Private First Class Lastimosa 'Marauder' Oldblood ran 'Equip' on item 'E-11 Stun Blaster' (#1676)
[08:06:12]	Private First Class Lastimosa 'Marauder' Oldblood ran 'EquipUn' on item 'E-11 Blaster' (#1623)
[08:06:24]	Private First Class Lastimosa 'Marauder' Oldblood used the 'Supply Locker' vendor.
[08:06:26]	Private First Class Lastimosa 'Marauder' Oldblood has gained 0 credits.
[08:06:26]	Private First Class Lastimosa 'Marauder' Oldblood has gained a 'Tibanna Cartridge' #1677.
