[12:13:18]	Lieutenant Ezyn Linmer has taken 178 damage from Sergeant RT-9824.
[12:13:18]	Lieutenant Ezyn Linmer has taken 3 damage from Sergeant RT-9824.
[12:13:20]	Lieutenant Ezyn Linmer has taken 23 damage from Sergeant RT-9824.
[12:13:20]	Lieutenant Ezyn Linmer has taken 23 damage from Sergeant RT-9824.
[12:13:20]	Lieutenant Ezyn Linmer has taken 182 damage from Sergeant RT-9824.
[12:13:21]	Lieutenant Ezyn Linmer has taken 4 damage from Sergeant RT-9824.
[12:13:26]	Lieutenant Ezyn Linmer has taken 29 damage from Sergeant RT-9824.
[12:13:26]	Lieutenant Ezyn Linmer has taken 3 damage from Sergeant RT-9824.
[12:13:26]	Lieutenant Ezyn Linmer has taken 29 damage from Sergeant RT-9824.
[12:13:27]	Lieutenant Ezyn Linmer has taken 31 damage from Sergeant RT-9824.
[12:13:27]	Lieutenant Ezyn Linmer has taken 31 damage from Sergeant RT-9824.
[12:13:27]	Lieutenant Ezyn Linmer has taken 3 damage from Sergeant RT-9824.
[12:13:28]	Lieutenant Ezyn Linmer has taken 181 damage from Sergeant RT-9824.
[12:13:28]	Lieutenant Ezyn Linmer has taken 4 damage from Sergeant RT-9824.
[12:13:29]	Lieutenant Ezyn Linmer has taken 4 damage from Sergeant RT-9824.
[12:13:29]	Lieutenant Ezyn Linmer has taken 29 damage from Sergeant RT-9824.
[12:13:29]	Lieutenant Ezyn Linmer has taken 30 damage from Sergeant RT-9824.
[12:13:30]	Lieutenant Ezyn Linmer has taken 186 damage from Sergeant RT-9824.
[12:16:05]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[12:34:55]	✙HealthAngel✙ has connected.
[12:36:40]	✙HealthAngel✙ (STEAM_0:0:76323233) has disconnected.
[12:54:52]	Lieutenant Ezyn Linmer entered observer.
[12:56:28]	Lieutenant Ezyn Linmer exited observer at their location.
[12:56:29]	Lieutenant Ezyn Linmer entered observer.
[12:56:29]	Lieutenant Ezyn Linmer exited observer at their location.
[12:56:29]	Lieutenant Ezyn Linmer entered observer.
[13:00:11]	Lieutenant Ezyn Linmer exited observer at their location.
[13:00:11]	Lieutenant Ezyn Linmer entered observer.
[13:00:12]	Lieutenant Ezyn Linmer exited observer at their location.
[13:00:14]	Lieutenant Ezyn Linmer entered observer.
[13:00:25]	Lieutenant Ezyn Linmer exited observer at their location.
[13:00:25]	Lieutenant Ezyn Linmer entered observer.
[13:00:33]	Lieutenant Ezyn Linmer exited observer at their location.
[13:00:33]	Lieutenant Ezyn Linmer entered observer.
[13:00:34]	Lieutenant Ezyn Linmer exited observer at their location.
[13:00:34]	Lieutenant Ezyn Linmer entered observer.
[13:01:23]	FB|| light ROOM has connected.
[13:01:52]	FB|| light ROOM loaded the character 'Sergeant RT-9824'
[13:02:00]	[OOC] Sergeant RT-9824: Gamer
[13:02:01]	Sergeant RT-9824 has taken 142 damage from worldspawn.
[13:02:01]	worldspawn has killed Sergeant RT-9824.
[13:02:09]	[OOC] Lieutenant Ezyn Linmer: gamerrrr
[13:02:11]	[OOC] Sergeant RT-9824: that was rude
[13:02:18]	[OOC] Lieutenant Ezyn Linmer: what was
[13:02:21]	[OOC] Sergeant RT-9824: Aren't we on Vader's ship?
[13:02:22]	Sergeant RT-9824 used the 'Armory' vendor.
[13:02:23]	[OOC] Lieutenant Ezyn Linmer: not yet
[13:02:25]	Sergeant RT-9824 has gained 0 credits.
[13:02:25]	Sergeant RT-9824 has gained a 'Tibanna Cartridge' #1145.
[13:02:25]	Sergeant RT-9824 has gained 0 credits.
[13:02:25]	Sergeant RT-9824 has gained a 'Tibanna Cartridge' #1146.
[13:02:26]	Sergeant RT-9824 has gained 0 credits.
[13:02:26]	Sergeant RT-9824 has gained a 'Tibanna Cartridge' #1147.
[13:02:26]	Lieutenant Ezyn Linmer exited observer at their location.
[13:02:27]	Lieutenant Ezyn Linmer entered observer.
[13:02:27]	Sergeant RT-9824 has gained 0 credits.
[13:02:27]	Sergeant RT-9824 has gained a 'Tibanna Cartridge' #1148.
[13:02:28]	Sergeant RT-9824 has gained 0 credits.
[13:02:28]	Sergeant RT-9824 has gained a 'Tibanna Cartridge' #1149.
[13:02:41]	[OOC] Sergeant RT-9824: Okay, then I imagine you'll be repropping the map when we do.
[13:02:44]	Sergeant RT-9824 ran 'Equip' on item 'E-22 Blaster' (#536)
[13:02:44]	Sergeant RT-9824 ran 'use' on item 'Tibanna Cartridge' (#1145)
[13:02:45]	Sergeant RT-9824 ran 'use' on item 'Tibanna Cartridge' (#1146)
[13:02:45]	Sergeant RT-9824 ran 'use' on item 'Tibanna Cartridge' (#1147)
[13:02:46]	Sergeant RT-9824 ran 'use' on item 'Tibanna Cartridge' (#1148)
[13:02:46]	Sergeant RT-9824 ran 'use' on item 'Tibanna Cartridge' (#1149)
[13:03:12]	[OOC] Lieutenant Ezyn Linmer: ;-;
[13:03:14]	[OOC] Lieutenant Ezyn Linmer: i don't wanna
[13:03:22]	[OOC] Sergeant RT-9824: But also....be smart and do it.
[13:03:33]	[OOC] Lieutenant Ezyn Linmer: :(
[13:03:35]	[OOC] Sergeant RT-9824: by the way, are my bodygroups still fucked?
