[17:24:33]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:33]	Dakota Oswalt has taken 0 damage from Dakota Oswalt.
[17:24:33]	Dakota Oswalt has taken 1 damage from Dakota Oswalt.
[17:24:34]	Dakota Oswalt has taken 2 damage from Dakota Oswalt.
[17:24:34]	Dakota Oswalt has taken 2 damage from Dakota Oswalt.
[17:24:34]	Dakota Oswalt has killed Dakota Oswalt.
[17:28:15]	[OOC] Dakota Oswalt: whatlocks
[17:30:45]	[OOC] Dakota Oswalt: whered u go
[17:32:36]	[OOC] CCA.C17-GRID.i1.59212: oops
[17:32:44]	[OOC] CCA.C17-GRID.i1.59212: the locks that were on that store
[17:32:52]	[OOC] Dakota Oswalt: o
[17:34:16]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:34:16]	CCA.C17-GRID.i1.59212 entered observer.
[17:34:17]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:34:17]	CCA.C17-GRID.i1.59212 entered observer.
[17:34:19]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:34:19]	CCA.C17-GRID.i1.59212 entered observer.
[17:34:20]	CCA.C17-GRID.i1.59212 exited observer at their location.
[17:35:14]	CCA.C17-GRID.i1.59212 has spawned 'models/romka/romka_combine_super_soldier.mdl'.
[17:35:21]	CCA.C17-GRID.i1.59212 entered observer.
[17:35:32]	CCA.C17-GRID.i1.59212 has spawned 'models/wickhex/jambo/combine/2000_combine_soldier.mdl'.
[17:35:38]	CCA.C17-GRID.i1.59212 has spawned 'models/wickhex/jambo/combine/2000_combine_soldier.mdl'.
[17:36:56]	[OOC] Dakota Oswalt: uhm do i go ic now
[17:37:05]	[OOC] CCA.C17-GRID.i1.59212: i mean its just us 2
[17:37:19]	CCA.C17-GRID.i1.59212 has spawned 'models/romka/romka_combine_super_soldier.mdl'.
[17:37:33]	[OOC] Dakota Oswalt: im still desparately taking 5 million years to get lp
[17:39:01]	CCA.C17-GRID.i1.59212 has gained 10 tokens.
[17:39:11]	[OOC] CCA.C17-GRID.i1.59212: shit
[17:39:14]	[OOC] CCA.C17-GRID.i1.59212: i have to go
[17:39:23]	[OOC] Dakota Oswalt: yeah i wwas gonna go too anyway
[17:39:27]	DRD (STEAM_0:0:193599766) has disconnected.
[17:39:37]	dystress (STEAM_0:0:178506700) has disconnected.
