[15:04:22]	Marc 'Watcher 1' Temple exited observer at their location.
[15:04:48]	Bett Benneck exited observer at their location.
[15:04:48]	Marc 'Watcher 1' Temple has spawned 'models/props_office/copy_machine.mdl'.
[15:04:49]	Bett Benneck entered observer.
[15:04:49]	Bett Benneck exited observer at their location.
[15:04:50]	[OOC] Bett Benneck: yeah
[15:04:54]	[OOC] Bett Benneck: the site 86 roleplay got so egood maps
[15:04:54]	Bett Benneck entered observer.
[15:04:55]	Bett Benneck exited observer at their location.
[15:04:58]	[OOC] Bett Benneck: scp urban is great too
[15:04:58]	Bett Benneck entered observer.
[15:05:01]	Bett Benneck exited observer at their location.
[15:05:02]	Bett Benneck entered observer.
[15:05:02]	Bett Benneck exited observer at their location.
[15:05:03]	Bett Benneck entered observer.
[15:05:03]	Bett Benneck exited observer at their location.
[15:05:04]	Bett Benneck entered observer.
[15:05:07]	[OOC] Marc 'Watcher 1' Temple: Did we get the BM Lab props?
[15:05:09]	[OOC] Bett Benneck: yes
[15:05:11]	Bett Benneck exited observer at their location.
[15:05:24]	[OOC] Bett Benneck: black mesa lab models and it'snot mounted what hte fuck
[15:05:26]	Bett Benneck entered observer.
[15:05:27]	Bett Benneck exited observer at their location.
[15:05:28]	Bett Benneck entered observer.
[15:05:29]	[OOC] Marc 'Watcher 1' Temple: bruh
[15:05:29]	Bett Benneck exited observer at their location.
[15:05:30]	Bett Benneck entered observer.
[15:05:30]	Bett Benneck exited observer at their location.
[15:05:34]	Bett Benneck entered observer.
[15:05:34]	Bett Benneck exited observer at their location.
[15:05:35]	Bett Benneck entered observer.
[15:05:35]	[OOC] Marc 'Watcher 1' Temple: also pie check time
[15:05:35]	Bett Benneck exited observer at their location.
[15:06:16]	[OOC] Bett Benneck: oh fuck i added the office mdoesl on accident
[15:09:49]	matt saton has connected.
[15:09:53]	Ollie Garner has connected.
[15:10:41]	Ollie Garner loaded the character 'Marc 'Watcher 1' Temple'
[15:12:17]	Ollie Garner (STEAM_0:1:52892973) has disconnected.
