[15:24:32]	Jonathan Jackson has lost a 'Human Science Rat Poster' #37991.
[15:24:32]	George Wach has taken 1 damage from worldspawn.
[15:24:33]	George Wach has taken 1 damage from worldspawn.
[15:24:34]	George Wach has taken 1 damage from worldspawn.
[15:24:34]	George Wach has taken 1 damage from worldspawn.
[15:24:35]	Jonathan Jackson ran 'place' on item 'Human Science Rat Poster' (#37991)
[15:24:35]	George Wach ran 'equip' on item 'Citizen Filter' (#33877)
[15:24:37]	Jefferson Jackson ran 'drop' on item 'AA Battery' (#37994)
[15:24:37]	Jefferson Jackson has lost a 'AA Battery' #37994.
[15:24:38]	Jonathan Jackson ran 'take' on item 'Human Science Rat Poster' (#37991)
[15:24:38]	Jonathan Jackson has gained a 'Human Science Rat Poster' #37991.
[15:24:40]	Jefferson Jackson ran 'Equip' on item 'Crowbar' (#37813)
[15:24:46]	[OOC] Jonathan Jackson: I'm bugged need to reconnect
[15:24:47]	[OOC] George Wach: hi boys
[15:24:49]	Painevan (STEAM_0:0:68118061) has disconnected.
[15:24:49]	[OOC] CCA.C17-UNION.i5.94233: hallo
[15:24:54]	[OOC] Jefferson Jackson: hello person of unknown gender
[15:25:09]	Jefferson Jackson has gained a 'Scrap Glass' #37995.
[15:25:11]	Jefferson Jackson ran 'drop' on item 'Scrap Glass' (#37995)
[15:25:11]	Jefferson Jackson has lost a 'Scrap Glass' #37995.
[15:25:11]	[OOC] George Wach: damn I missed that server
[15:25:14]	Jefferson Jackson ran 'take' on item 'Scrap Glass' (#37995)
[15:25:14]	Jefferson Jackson has gained a 'Scrap Glass' #37995.
[15:25:15]	Jefferson Jackson ran 'drop' on item 'Scrap Glass' (#37995)
[15:25:15]	Jefferson Jackson has lost a 'Scrap Glass' #37995.
[15:25:25]	[OOC] Jefferson Jackson: well don't miss next time
[15:25:28]	[OOC] CCA.C17-UNION.i5.94233: this is the 8th death ive caused 
[15:25:33]	[OOC] CCA.C17-UNION.i5.94233: on accidento n this CP
[15:25:35]	[OOC] Jefferson Jackson: you've commited so many murders
[15:25:37]	[OOC] Jefferson Jackson: how are you still a cp
[15:25:39]	[OOC] CCA.C17-UNION.i5.94233: LMAO
[15:25:41]	[OOC] George Wach: im proud of you
[15:25:47]	Jefferson Jackson has gained a 'Empty Consulate Water Can' #37996.
[15:25:52]	[OOC] CCA.C17-UNION.i5.94233: the epu was like you probably won't kill people
[15:25:53]	[OOC] Jefferson Jackson: found an empty can life is good
[15:25:56]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[15:26:00]	[OOC] CCA.C17-UNION.i5.94233: ive shot 6 executed one and just beat someone to death on accident
[15:26:00]	Jefferson Jackson opened the 'Infestation Control Footlocker' #3020 container.
[15:26:02]	Jefferson Jackson closed the 'Infestation Control Footlocker' #3020 container.
[15:26:02]	Painevan has connected.
[15:26:13]	Jefferson Jackson ran 'Edit' on item 'Notepad' (#37797)
[15:26:35]	[OOC] George Wach: ah shit i forgor to download the addon
[15:26:39]	[OOC] CCA.C17-UNION.i5.94233: L
[15:26:41]	[OOC] Jefferson Jackson: L
[15:26:53]	[OOC] George Wach: damn I hate gmod
[15:26:54]	Jefferson Jackson ran 'drop' on item 'Notepad' (#37797)
[15:26:54]	Jefferson Jackson has lost a 'Notepad' #37797.
[15:27:00]	[OOC] George Wach: but im addicted to it
[15:27:10]	CCA.C17-UNION.i5.94233 ran 'View' on item 'Notepad' (#37797)
[15:27:13]	Painevan loaded the character 'Jonathan Jackson'
[15:27:16]	[OOC] Jonathan Jackson: back
[15:27:29]	Jonathan Jackson ran 'place' on item 'Human Science Rat Poster' (#37991)
[15:27:40]	[ME] CCA.C17-UNION.i5.94233: Nods
[15:27:52]	Jonathan Jackson ran 'place' on item 'Human Science Rat Poster' (#37991)
[15:28:03]	Jonathan Jackson ran 'place' on item 'Human Science Rat Poster' (#37991)
[15:28:06]	George Wach used the 'Shopkeeper Jim' vendor.
[15:28:09]	George Wach has lost 2 tokens.
[15:28:09]	George Wach has gained a 'Citizen Filter' #37997.
[15:28:18]	Jonathan Jackson ran 'Consume' on item 'Loyalist Grade Supplements (Garlic Flavor)' (#37518)
[15:28:22]	Jonathan Jackson ran 'place' on item 'Human Science Rat Poster' (#37992)
[15:28:28]	[OOC] George Wach: uh yea but really short
[15:28:33]	[OOC] George Wach: shit
[15:28:40]	[OOC] Jonathan Jackson: what?
[15:28:59]	Jonathan Jackson has taken 1 damage from npc_fastzombie.
[15:29:02]	Jonathan Jackson has gained 20 tokens.
[15:29:12]	CCA.C17-UNION.i5.94233 used command '/Radio 10-50'.
[15:29:18]	Jonathan Jackson ran 'place' on item 'Cremator Poster' (#37993)
[15:29:18]	George Wach has lost 4 tokens.
[15:29:18]	George Wach used command '/DropTokens 4'.
[15:29:20]	Jefferson Jackson has gained 4 tokens.
[15:30:40]	George Wach used command '/Apply'.
[15:30:40]	Jonathan Jackson ran 'EquipUn' on item 'Green Citizen Suit' (#28351)
[15:30:56]	CCA.C17-UNION.i5.94233 has gained 10 tokens.
[15:30:57]	Jefferson Jackson ran 'take' on item 'Pin' (#37453)
[15:30:57]	Jefferson Jackson has gained a 'Pin' #37453.
[15:31:05]	[OOC] Jefferson Jackson: succesfully robbed an innocent man'
[15:31:10]	[OOC] Jefferson Jackson: got 4 tokens
[15:31:12]	[OOC] Jefferson Jackson: easy dubs
[15:31:12]	[OOC] Jonathan Jackson: criminal
[15:31:29]	[OOC] Jefferson Jackson: bro didn't you try to club me a few days ago for my tokens
[15:31:40]	[OOC] Jonathan Jackson: well yes but it was funny
[15:31:44]	[OOC] Jefferson Jackson: it was mean
[15:31:56]	[OOC] Jefferson Jackson: but i escaped cause im the superior being
[15:31:57]	Jonathan Jackson used command '/Apply'.
