[00:03:18]	Morgan Beck has gained a 'Charred Metal' #9301.
[00:03:18]	Morgan Beck has gained 0 tokens.
[00:03:18]	Morgan Beck has gained a 'Charred Metal' #9302.
[00:03:19]	Morgan Beck has gained 0 tokens.
[00:03:19]	Morgan Beck has gained a 'Charred Metal' #9303.
[00:03:19]	Morgan Beck has gained 0 tokens.
[00:03:19]	Morgan Beck has gained a 'Charred Metal' #9304.
[00:03:20]	Morgan Beck has gained 0 tokens.
[00:03:20]	Morgan Beck has gained a 'Charred Metal' #9305.
[00:03:20]	Morgan Beck has gained 0 tokens.
[00:03:20]	Morgan Beck has gained a 'Charred Metal' #9306.
[00:03:21]	Morgan Beck has gained 0 tokens.
[00:03:21]	Morgan Beck has gained a 'Charred Metal' #9307.
[00:03:24]	Morgan Beck has lost a 'Charred Metal' #9305.
[00:03:24]	Morgan Beck has lost a 'Charred Metal' #9296.
[00:03:24]	Morgan Beck has gained a 'Scrap Metal' #9308.
[00:03:29]	Gordo Kin used the 'Crate' vendor.
[00:03:31]	Gordo Kin has gained 0 tokens.
[00:03:31]	Gordo Kin has gained a 'Charred Metal' #9309.
[00:03:31]	Morgan Beck ran 'drop' on item 'Charred Metal' (#9299)
[00:03:31]	Morgan Beck has lost a 'Charred Metal' #9299.
[00:03:31]	Gordo Kin has gained 0 tokens.
[00:03:31]	Gordo Kin has gained a 'Charred Metal' #9310.
[00:03:31]	Gordo Kin has gained 0 tokens.
[00:03:31]	Gordo Kin has gained a 'Charred Metal' #9311.
[00:03:32]	Gordo Kin has gained 0 tokens.
[00:03:32]	Gordo Kin has gained a 'Charred Metal' #9312.
[00:03:32]	Gordo Kin has gained 0 tokens.
[00:03:32]	Gordo Kin has gained a 'Charred Metal' #9313.
[00:03:33]	Gordo Kin has gained 0 tokens.
[00:03:33]	Gordo Kin has gained a 'Charred Metal' #9314.
[00:03:33]	Gordo Kin has gained 0 tokens.
[00:03:33]	Gordo Kin has gained a 'Charred Metal' #9315.
[00:03:33]	Gordo Kin has gained 0 tokens.
[00:03:33]	Gordo Kin has gained a 'Charred Metal' #9316.
[00:03:34]	Gordo Kin has gained 0 tokens.
[00:03:34]	Gordo Kin has gained a 'Charred Metal' #9317.
[00:03:34]	Morgan Beck ran 'take' on item 'Charred Metal' (#9299)
[00:03:34]	Morgan Beck has gained a 'Charred Metal' #9299.
[00:03:34]	Gordo Kin has gained 0 tokens.
[00:03:34]	Gordo Kin has gained a 'Charred Metal' #9318.
[00:03:34]	Gordo Kin has gained 0 tokens.
[00:03:34]	Gordo Kin has gained a 'Charred Metal' #9319.
[00:03:39]	[LOOC] CCA.C08-GRID.i4.69192: hold shift
[00:03:40]	Gordo Kin has lost a 'Charred Metal' #9319.
[00:03:40]	Gordo Kin has lost a 'Charred Metal' #9315.
[00:03:40]	Gordo Kin has gained a 'Scrap Metal' #9319.
[00:03:40]	Gordo Kin has lost a 'Scrap Metal' #9319.
[00:03:40]	Gordo Kin has lost a 'Charred Metal' #9312.
[00:03:40]	Gordo Kin has gained a 'Scrap Metal' #9319.
[00:03:40]	Gordo Kin has lost a 'Scrap Metal' #9319.
[00:03:40]	Gordo Kin has lost a 'Charred Metal' #9316.
[00:03:40]	Gordo Kin has gained a 'Scrap Metal' #9319.
[00:03:40]	Gordo Kin has lost a 'Scrap Metal' #9319.
[00:03:42]	Morgan Beck ran 'drop' on item 'Blacksmith Tongs' (#9170)
[00:03:42]	Morgan Beck has lost a 'Blacksmith Tongs' #9170.
[00:03:43]	Morgan Beck ran 'take' on item 'Blacksmith Tongs' (#9170)
[00:03:43]	Morgan Beck has gained a 'Blacksmith Tongs' #9170.
[00:03:48]	Morgan Beck has lost a 'Scrap Metal' #9308.
[00:03:48]	Morgan Beck has lost a 'Scrap Metal' #9268.
[00:03:48]	Morgan Beck has lost a 'Scrap Metal' #9266.
[00:03:48]	Morgan Beck has gained a 'Reclaimed Metal' #9319.
[00:03:51]	Gordo Kin has lost a 'Reclaimed Metal' #9319.
[00:03:55]	Morgan Beck ran 'drop' on item 'Blacksmith Tongs' (#9170)
[00:03:55]	Morgan Beck has lost a 'Blacksmith Tongs' #9170.
[00:03:58]	Morgan Beck ran 'take' on item 'Blacksmith Tongs' (#9170)
[00:03:58]	Morgan Beck has gained a 'Blacksmith Tongs' #9170.
[00:03:59]	Morgan Beck has lost a 'Charred Metal' #9299.
[00:03:59]	Morgan Beck has lost a 'Charred Metal' #9301.
[00:03:59]	Morgan Beck has lost a 'Charred Metal' #9294.
[00:03:59]	Morgan Beck has lost a 'Charred Metal' #9292.
[00:03:59]	Morgan Beck has gained a 'Scrap Metal' #9319.
[00:04:00]	Morgan Beck has lost a 'Charred Metal' #9300.
[00:04:00]	Morgan Beck has lost a 'Charred Metal' #9295.
[00:04:00]	Morgan Beck has lost a 'Charred Metal' #9306.
[00:04:00]	Morgan Beck has gained a 'Scrap Metal' #9320.
[00:04:09]	[OOC] Gordo Kin: I now have Invalid Items
[00:04:11]	James Jacob used the 'Product Deposit' vendor.
[00:04:13]	[OOC] Gordo Kin: Neat
[00:04:13]	James Jacob has gained 10 tokens.
[00:04:16]	[OOC] CCA.C08-GRID.i4.69192: fuck
[00:04:23]	[Y] James Jacob: Starting to fill the tanks now!
[00:04:24]	Gordo Kin has lost a 'Scrap Metal' #9319.
[00:04:34]	[OOC] Morgan Beck: si
[00:04:34]	[OOC] Gordo Kin: Yo
[00:04:35]	Morgan Beck has lost a 'Charred Metal' #9303.
