[00:20:41]	CCA.C08-UNION.i3.98240 [X] used command '/Radio factory'.
[00:20:45]	CCA.C08-UNION.i5.19267 used command '/Radio Copy.'.
[00:20:51]	James Albright entered observer.
[00:20:51]	James Albright exited observer at their location.
[00:20:52]	James Albright entered observer.
[00:21:01]	CCA.C08-JUDGE.i1.91412 ran 'drop' on item 'Combine Worker Outfit' (#11818)
[00:21:01]	CCA.C08-JUDGE.i1.91412 has lost a 'Combine Worker Outfit' #11818.
[00:21:01]	James Albright exited observer at their location.
[00:21:02]	James Albright entered observer.
[00:21:02]	CCA.C08-JUDGE.i1.91412 ran 'drop' on item 'Combine Worker Outfit' (#11819)
[00:21:02]	CCA.C08-JUDGE.i1.91412 has lost a 'Combine Worker Outfit' #11819.
[00:21:03]	CCA.C08-JUDGE.i1.91412 ran 'drop' on item 'Combine Worker Outfit' (#11820)
[00:21:03]	CCA.C08-JUDGE.i1.91412 has lost a 'Combine Worker Outfit' #11820.
[00:21:20]	[LOOC] CCA.C08-UNION.i5.19267: FUCK WRONG BIND
[00:21:24]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Lmao
[00:21:34]	James Jacob entered observer.
[00:22:06]	James Albright exited observer at their location.
[00:22:22]	James Albright ran 'View' on item 'Notepad' (#15039)
[00:22:34]	James Albright ran 'View' on item 'Notepad' (#15037)
[00:22:36]	James Albright ran 'View' on item 'Notepad' (#15039)
[00:22:40]	James Albright ran 'View' on item 'Notepad' (#15040)
[00:22:42]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[00:22:43]	James Albright ran 'View' on item 'Notepad' (#15039)
[00:22:47]	Morgan Beck used command '/Reply Tell me when my furniture has arrived'.
[00:22:55]	James Albright used command '/PM beck there's so much, i should hjave charged you delivery'.
[00:22:56]	James Jacob exited observer at their location.
[00:22:59]	[LOOC] CCA.C08-UNION.i5.19267: void
[00:22:59]	James Albright has spawned 'models/props_c17/FurnitureTable002a.mdl'.
[00:23:00]	Morgan Beck used command '/Reply F'.
[00:23:05]	CCA.C08-JUDGE.i1.91412 opened the '' #1111 container.
[00:23:06]	[LOOC] CCA.C08-UNION.i5.19267: void all voicelines lol
[00:23:07]	CCA.C08-JUDGE.i1.91412 closed the '' #1111 container.
[00:23:09]	[LOOC] CCA.C08-UNION.i3.98240 [X]: This is why we don't use Binds
[00:23:10]	Morgan Beck used command '/Reply So I am guessing you still going through?'.
[00:23:16]	[LOOC] CCA.C08-UNION.i5.19267: kk
[00:23:50]	[ME] Saul Zolnerkevich: stares intensily
[00:24:14]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[00:24:38]	James Albright ran 'Drink' on item 'Breen's Water' (#13853)
[00:24:40]	James Albright ran 'Eat' on item 'Standard Grade Citizen Food Product' (#13762)
[00:24:47]	James Albright entered observer.
[00:24:50]	James Albright exited observer at their location.
[00:24:54]	James Albright entered observer.
[00:24:59]	CCA.C08-UNION.i5.19267 has gained 10 tokens.
[00:24:59]	James Albright exited observer at their location.
[00:25:14]	Morgan Beck exited observer at their location.
[00:25:32]	[W] James Albright: Fair enough.
[00:25:41]	Morgan Beck entered observer.
[00:25:44]	Morgan Beck exited observer at their location.
[00:25:51]	Morgan Beck entered observer.
[00:26:14]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Hm
