[16:06:30]	Lee Maylor has spawned 'models/props_wasteland/rockcliff_cluster02a.mdl'.
[16:06:31]	Lee Maylor has spawned 'models/props_wasteland/rockgranite03b.mdl'.
[16:06:33]	Lee Maylor has spawned 'models/props_wasteland/rockcliff_cluster03c.mdl'.
[16:06:35]	Lee Maylor has spawned 'models/props_wasteland/rockcliff05e.mdl'.
[16:06:42]	Lee Maylor exited observer at their location.
[16:06:56]	Lee Maylor entered observer.
[16:07:00]	Lee Maylor exited observer at their location.
[16:07:06]	Lee Maylor entered observer.
[16:07:12]	Lee Maylor exited observer at their location.
[16:07:14]	Lee Maylor has taken 29 damage from worldspawn.
[16:07:17]	Lee Maylor entered observer.
[16:07:20]	Lee Maylor exited observer at their location.
[16:07:26]	Lee Maylor entered observer.
[16:07:28]	Lee Maylor exited observer at their location.
[16:07:33]	Lee Maylor entered observer.
[16:07:34]	Lee Maylor exited observer at their location.
[16:07:34]	Lee Maylor entered observer.
[16:07:34]	Lee Maylor exited observer at their location.
[16:07:43]	Lee Maylor entered observer.
[16:07:51]	Lee Maylor has spawned 'models/props_wasteland/rockcliff05f.mdl'.
[16:08:01]	Lee Maylor exited observer at their location.
[16:08:28]	Lee Maylor entered observer.
[16:08:41]	Lee Maylor exited observer at their location.
[16:08:45]	Lee Maylor entered observer.
[16:09:03]	Lee Maylor has spawned 'models/props_wasteland/rockcliff01g.mdl'.
[16:09:06]	Lee Maylor has spawned 'models/props_wasteland/rockgranite02b.mdl'.
[16:09:08]	Lee Maylor has spawned 'models/props_wasteland/rockcliff_cluster03a.mdl'.
[16:09:09]	Lee Maylor has spawned 'models/props_wasteland/rockcliff_cluster03c.mdl'.
[16:09:11]	Lee Maylor has spawned 'models/props_wasteland/rockcliff01g.mdl'.
[16:09:13]	Lee Maylor has spawned 'models/props_wasteland/rockcliff01k.mdl'.
[16:09:16]	Lee Maylor exited observer at their location.
[16:09:25]	Lee Maylor entered observer.
[16:09:29]	Lee Maylor exited observer at their location.
[16:09:49]	Lee Maylor entered observer.
[16:09:58]	Lee Maylor exited observer at their location.
[16:09:58]	Lee Maylor has taken 5 damage from npc_antlion.
[16:10:01]	Lee Maylor entered observer.
[16:10:15]	Lee Maylor has spawned 'models/props_wasteland/rockgranite02b.mdl'.
[16:10:16]	Lee Maylor has spawned 'models/props_wasteland/rockgranite02c.mdl'.
[16:10:23]	Lee Maylor has spawned 'models/props_wasteland/rockgranite01a.mdl'.
[16:10:25]	Lee Maylor has spawned 'models/props_wasteland/rockcliff06d.mdl'.
[16:10:27]	Lee Maylor has spawned 'models/props_wasteland/rockcliff01f.mdl'.
[16:10:36]	Lee Maylor has spawned a 'NPC [2948][npc_antlionguard]'.
[16:11:03]	Lee Maylor exited observer at their location.
[16:11:06]	Lee Maylor has taken 20 damage from npc_antlionguard.
[16:11:08]	Lee Maylor entered observer.
[16:11:12]	Lee Maylor exited observer at their location.
[16:11:13]	Lee Maylor entered observer.
[16:11:14]	Lee Maylor exited observer at their location.
[16:11:15]	Lee Maylor has spawned 'models/props_wasteland/rockgranite03b.mdl'.
[16:11:16]	Lee Maylor has spawned 'models/props_wasteland/rockgranite01a.mdl'.
[16:11:18]	Lee Maylor has spawned 'models/props_wasteland/rockgranite01a.mdl'.
[16:11:18]	Lee Maylor entered observer.
[16:11:21]	Lee Maylor has spawned 'models/props_wasteland/rockgranite02b.mdl'.
[16:11:38]	Lee Maylor exited observer at their location.
[16:12:08]	Lee Maylor has spawned a 'NPC [1965][npc_antlionguard]'.
[16:12:11]	Lee Maylor has taken 20 damage from npc_antlionguard.
[16:12:15]	Lee Maylor entered observer.
[16:12:16]	Lee Maylor has spawned a 'NPC [1965][npc_antlionguard]'.
[16:12:16]	Lee Maylor exited observer at their location.
[16:12:19]	Lee Maylor has taken 20 damage from npc_antlionguard.
[16:12:19]	npc_antlionguard has killed Lee Maylor.
[16:12:27]	Lee Maylor entered observer.
[16:12:44]	Lee Maylor exited observer at their location.
[16:12:45]	Lee Maylor entered observer.
[16:12:51]	Lee Maylor has spawned a 'NPC [1136][npc_antlionguard]'.
[16:12:52]	Lee Maylor has spawned a 'NPC [2956][npc_antlionguard]'.
[16:12:53]	Lee Maylor exited observer at their location.
[16:12:56]	Lee Maylor entered observer.
[16:13:00]	Lee Maylor has spawned 'models/props_wasteland/rockgranite03b.mdl'.
[16:13:02]	Lee Maylor has spawned 'models/props_wasteland/rockgranite02b.mdl'.
[16:13:11]	Lee Maylor has spawned 'models/props_wasteland/rockgranite03a.mdl'.
[16:13:12]	Lee Maylor has spawned 'models/props_wasteland/rockgranite02c.mdl'.
[16:13:26]	Lee Maylor exited observer at their location.
[16:13:42]	Lee Maylor has spawned 'models/props_wasteland/rockcliff01f.mdl'.
[16:14:20]	Lee Maylor entered observer.
[16:14:26]	Lee Maylor exited observer at their location.
[16:14:42]	Lee Maylor entered observer.
